2018-05-26 18:46:10.757196,2018-05-26 18:46:12.156204
2018-05-26 18:46:13.356321,2018-05-26 18:46:14.476514
2018-05-26 18:46:15.908823,2018-05-26 18:46:17.308987
2018-05-26 18:46:18.653180,2018-05-26 18:46:20.237428
2018-05-26 18:46:21.790861,2018-05-26 18:46:23.213873
2018-05-26 18:46:24.638212,2018-05-26 18:46:26.062438
2018-05-26 18:46:27.398619,2018-05-26 18:46:28.758840
2018-05-26 18:46:30.088203,2018-05-26 18:46:31.327231
2018-05-26 18:46:32.880571,2018-05-26 18:46:34.272938
2018-05-26 18:46:35.847925,2018-05-26 18:46:37.201222
2018-05-26 18:46:38.441401,2018-05-26 18:46:39.801663
2018-05-26 18:46:41.073889,2018-05-26 18:46:42.376945
2018-05-26 18:46:43.625197,2018-05-26 18:46:45.041424
2018-05-26 18:46:46.346798,2018-05-26 18:46:47.697758
2018-05-26 18:46:49.139240,2018-05-26 18:46:50.570248
2018-05-26 18:46:51.979574,2018-05-26 18:46:53.267801
2018-05-26 18:46:54.683995,2018-05-26 18:46:56.084214
2018-05-26 18:46:57.443331,2018-05-26 18:46:58.828680
2018-05-26 18:47:00.276898,2018-05-26 18:47:01.725173
2018-05-26 18:47:03.268312,2018-05-26 18:47:04.692470
2018-05-26 18:47:06.092715,2018-05-26 18:47:07.533190
2018-05-26 18:47:08.925168,2018-05-26 18:47:10.357421
2018-05-26 18:47:11.677596,2018-05-26 18:47:13.173862
2018-05-26 18:47:14.614057,2018-05-26 18:47:16.070319
