2018-05-26 18:44:36.837803,2018-05-26 18:44:43.284269
2018-05-26 18:44:44.286195,2018-05-26 18:44:45.695592
2018-05-26 18:44:46.302610,2018-05-26 18:44:49.032238
2018-05-26 18:44:50.479158,2018-05-26 18:44:51.807495
2018-05-26 18:44:53.319725,2018-05-26 18:44:54.519818
2018-05-26 18:44:56.032055,2018-05-26 18:44:57.208242
2018-05-26 18:44:58.528474,2018-05-26 18:44:59.673815
2018-05-26 18:45:00.880955,2018-05-26 18:45:03.151575
2018-05-26 18:45:04.338505,2018-05-26 18:45:05.345557
2018-05-26 18:45:05.970778,2018-05-26 18:45:06.579240
2018-05-26 18:45:07.153844,2018-05-26 18:45:07.689887
2018-05-26 18:45:08.314033,2018-05-26 18:45:08.906091
2018-05-26 18:45:09.539328,2018-05-26 18:45:10.042289
2018-05-26 18:45:10.642460,2018-05-26 18:45:11.218430
2018-05-26 18:45:11.922620,2018-05-26 18:45:12.634788
2018-05-26 18:45:14.619056,2018-05-26 18:45:15.699163
2018-05-26 18:45:16.899375,2018-05-26 18:45:20.354068
2018-05-26 18:45:21.484104,2018-05-26 18:45:22.709357
2018-05-26 18:45:24.020457,2018-05-26 18:45:25.341882
2018-05-26 18:45:26.684925,2018-05-26 18:45:37.958764
